FID,name,modelobjec,x_coord,y_coord
0,Point 0,BellCreekLower - 0 - HPoint,-122.482658103999995,38.554260065500003
1,Point 1,BellCreekLower - 250 - QPoint,-122.483610751000001,38.552357036899998
2,Point 2,BellCreekLower - 500 - HPoint,-122.483179059999998,38.550233573699998
3,Point 3,BellCreekLower - 750 - QPoint,-122.481390013999999,38.548663489699997
4,Point 4,BellCreekLower - 1000 - HPoint,-122.480061949000003,38.546795459700000
5,Point 5,BellCreekLower - 1634.81005859375 - QPoint,-122.478072765999997,38.542015923000001
6,Point 6,BellCreekLower - 2269.6201171875 - HPoint,-122.483352554999996,38.538221245300001
7,Point 7,BellCreekLower - 2732.81005859375 - QPoint,-122.487283529999999,38.536334290299997
8,Point 8,BellCreekLower - 3196 - HPoint,-122.492163298999998,38.535121039000003
9,Point 9,BellReservoir - 0 - HPoint,-122.484662886999999,38.562269656700003
10,Point 10,BellReservoir - 150 - QPoint,-122.485184822999997,38.560992252500000
11,Point 11,BellReservoir - 300 - HPoint,-122.486021522000001,38.559811100499999
12,Point 12,BellReservoir - 450 - QPoint,-122.485193945999995,38.558750020600002
13,Point 13,BellReservoir - 600 - HPoint,-122.484145046999998,38.557678257299997
14,Point 14,BellReservoir - 700 - QPoint,-122.483400732999996,38.556992408799999
15,Point 15,BellReservoir - 800 - HPoint,-122.483008411000000,38.556166267999998
16,Point 16,BellReservoir - 880 - StructurePoint,-122.482819345999999,38.555461034200000
17,Point 17,BellReservoir - 935 - HPoint,-122.482662978999997,38.554980761400003
18,Point 18,CarnerosCreek - 0 - HPoint,-122.400381925999994,38.326468551100000
19,Point 19,CarnerosCreek - 500 - QPoint,-122.398896653999998,38.322298889400003
20,Point 20,CarnerosCreek - 1000 - HPoint,-122.397474232999997,38.318529365400003
21,Point 21,CarnerosCreek - 1500 - QPoint,-122.395504394000000,38.314400160200002
22,Point 22,CarnerosCreek - 2000 - HPoint,-122.391968333999998,38.311036189299998
23,Point 23,CarnerosCreek - 2446.3399658203125 - QPoint,-122.389307295999998,38.308039461299998
24,Point 24,CarnerosCreek - 2892.679931640625 - HPoint,-122.386886391000004,38.305174496299998
25,Point 25,CarnerosCreek - 3446.3399658203125 - QPoint,-122.384199550999995,38.301172893000000
26,Point 26,CarnerosCreek - 4000 - HPoint,-122.382650892000001,38.296972704799998
27,Point 27,CarnerosCreek - 4500 - QPoint,-122.382282896000007,38.293594997400000
28,Point 28,CarnerosCreek - 5000 - HPoint,-122.379252726999994,38.290284048399997
29,Point 29,CarnerosCreek - 5500 - QPoint,-122.375784010999993,38.286921434600004
30,Point 30,CarnerosCreek - 6000 - HPoint,-122.371736480999999,38.283972902099997
31,Point 31,CarnerosCreek - 6500 - QPoint,-122.368341548000004,38.281368373299998
32,Point 32,CarnerosCreek - 7000 - HPoint,-122.364054502000002,38.279202422200001
33,Point 33,CarnerosCreek - 7500 - QPoint,-122.359508661999996,38.277137640500001
34,Point 34,CarnerosCreek - 8000 - HPoint,-122.356088599000003,38.273950620199997
35,Point 35,CarnerosCreek - 8500 - QPoint,-122.352775523000005,38.270797550300003
36,Point 36,CarnerosCreek - 9000 - HPoint,-122.351466798999994,38.267032657500003
37,Point 37,CarnerosCreek - 9500 - QPoint,-122.347810043999999,38.264348421999998
38,Point 38,CarnerosCreek - 10000 - HPoint,-122.346026873000000,38.261060142700003
39,Point 39,CarnerosCreek - 10500 - QPoint,-122.341806418999994,38.259255129000003
40,Point 40,CarnerosCreek - 11000 - HPoint,-122.339548128000004,38.255225943100001
41,Point 41,CarnerosCreek - 11500 - QPoint,-122.336732052000002,38.251780728699998
42,Point 42,CarnerosCreek - 12000 - HPoint,-122.333942992000004,38.248161733499998
43,Point 43,CarnerosCreek - 12566.60009765625 - QPoint,-122.331718746999996,38.244167372699998
44,Point 44,CarnerosCreek - 13133.2001953125 - HPoint,-122.325585554000000,38.242657614899997
45,Point 45,CarnerosCreek - 13566.60009765625 - QPoint,-122.323480228999998,38.239540091700000
46,Point 46,CarnerosCreek - 14000 - HPoint,-122.319581025999994,38.237859069599999
47,Point 47,CarnerosCreek - 14750 - QPoint,-122.314325882999995,38.233516999300001
48,Point 48,CarnerosCreek - 15500 - HPoint,-122.312996724000001,38.227018871699997
49,Point 49,CarnerosCreek - 15901 - QPoint,-122.313488440000000,38.224585077800000
50,Point 50,CarnerosCreek - 16302 - HPoint,-122.311409472999998,38.221700425800002
51,Point 51,ConnCreek - 0 - HPoint,-122.460836779000005,38.586240663799998
52,Point 52,ConnCreek - 500 - QPoint,-122.458048468000001,38.583073222000003
53,Point 53,ConnCreek - 1000 - HPoint,-122.453868952999997,38.581120076200001
54,Point 54,ConnCreek - 1500 - QPoint,-122.449769141000004,38.579013616200001
55,Point 55,ConnCreek - 2000 - HPoint,-122.445646561000004,38.576115079200001
56,Point 56,ConnCreek - 2500 - QPoint,-122.445936328000002,38.571969701100002
57,Point 57,ConnCreek - 3000 - HPoint,-122.445013180999993,38.567782730399998
58,Point 58,ConnCreek - 3500 - QPoint,-122.442469329000005,38.563833146500002
59,Point 59,ConnCreek - 4000 - HPoint,-122.441444532999995,38.559801535299997
60,Point 60,ConnCreek - 4500 - QPoint,-122.442178975000004,38.555837188500000
61,Point 61,ConnCreek - 5000 - HPoint,-122.444979059999994,38.552654266399998
62,Point 62,ConnCreek - 5500 - QPoint,-122.448902816000000,38.550261663599997
63,Point 63,ConnCreek - 6000 - HPoint,-122.446539092999998,38.546672612300000
64,Point 64,ConnCreek - 6500 - QPoint,-122.444069967000004,38.543587959000000
65,Point 65,ConnCreek - 7000 - HPoint,-122.443438792999999,38.539179172399997
66,Point 66,ConnCreek - 7500 - QPoint,-122.440728191000005,38.535369380399999
67,Point 67,ConnCreek - 8000 - HPoint,-122.440056307999996,38.531089351799999
68,Point 68,ConnCreek - 8500 - QPoint,-122.437977279999998,38.527174760400001
69,Point 69,ConnCreek - 9000 - HPoint,-122.433419545999996,38.524746388200001
70,Point 70,ConnCreek - 9500 - QPoint,-122.429855559000003,38.521954710800003
71,Point 71,ConnCreek - 10000 - HPoint,-122.425666312000004,38.519163984000002
72,Point 72,ConnCreek - 10500 - QPoint,-122.420775108000001,38.517166150500003
73,Point 73,ConnCreek - 11000 - HPoint,-122.416579803000005,38.515432991799997
74,Point 74,ConnCreek - 11500 - QPoint,-122.413943012999994,38.512140616099998
75,Point 75,ConnCreek - 12000 - HPoint,-122.410698088999993,38.508954647499998
76,Point 76,ConnCreek - 12500 - QPoint,-122.405738737999997,38.507901846999999
